trade_date,gross_ret,net_ret,turnover,n_positions,cap_hit_ratio
2024-04-04,-0.0007953637775608,-0.0007953637775608,0.0,1,1.0
2024-04-05,-0.00049140649642065,-0.00049140649642065,0.0,1,1.0
2024-04-06,-0.004226439915659925,-0.004226439915659925,0.0,1,1.0
2024-04-07,0.00663579324424305,0.00663579324424305,0.0,1,1.0
2024-04-10,-0.0013736098250297,-0.0013736098250297,0.0,1,1.0
2024-04-11,0.0023878941469596,0.0023878941469596,0.0,1,1.0
2024-04-12,-0.000337080670631575,-0.000337080670631575,0.0,1,1.0
2024-04-13,0.00111334038655235,0.00111334038655235,0.0,1,1.0
2024-04-14,-0.00213611025799415,-0.00213611025799415,0.0,1,1.0
2024-04-17,0.001748791262169025,0.001748791262169025,0.0,1,1.0
2024-04-18,0.000454264500996325,0.000454264500996325,0.0,1,1.0
2024-04-19,0.00227688617822295,0.00227688617822295,0.0,1,1.0
2024-04-20,0.0003631500306767,0.0003631500306767,0.0,1,1.0
2024-04-21,0.0007578690783989,0.0007578690783989,0.0,1,1.0
2024-04-24,0.01047179350429305,0.01047179350429305,0.0,1,1.0
2024-04-25,0.00518666802262755,0.00518666802262755,0.0,1,1.0
2024-05-01,-0.00189747904947555,-0.00189747904947555,0.0,1,1.0
2024-05-02,7.214717672732185e-06,7.214717672732185e-06,0.0,1,1.0
2024-05-03,-0.00020354591318095,-0.00020354591318095,0.0,1,1.0
2024-05-04,0.0047710374915824,0.0047710374915824,0.0,1,1.0
2024-05-05,0.001077498476445775,0.001077498476445775,0.0,1,1.0
2024-05-08,-0.002656895336895075,-0.002656895336895075,0.0,1,1.0
2024-05-09,0.000557342168582925,0.000557342168582925,0.0,1,1.0
2024-05-10,0.004441786266761425,0.004441786266761425,0.0,1,1.0
2024-05-11,0.0040706037049683,0.0040706037049683,0.0,1,1.0
2024-05-12,0.0052457169024817,0.0052457169024817,0.0,1,1.0
2024-05-15,0.002967574485728425,0.002967574485728425,0.0,1,1.0
2024-05-16,0.003415941692357525,0.003415941692357525,0.0,1,1.0
2024-05-17,0.000360588306137825,0.000360588306137825,0.0,1,1.0
2024-05-18,-0.00200882010583265,-0.00200882010583265,0.0,1,1.0
2024-05-19,0.00301599242175785,0.00301599242175785,0.0,1,1.0
2024-05-22,-0.0001838639221006,-0.0001838639221006,0.0,1,1.0
2024-05-23,-0.00107420790166905,-0.00107420790166905,0.0,1,1.0
2024-05-24,-0.002929093340433675,-0.002929093340433675,0.0,1,1.0
2024-05-25,-0.003104090303256725,-0.003104090303256725,0.0,1,1.0
2024-05-26,-0.001194221749422275,-0.001194221749422275,0.0,1,1.0
2024-05-29,0.0014087444041011,0.0014087444041011,0.0,1,1.0
2024-05-30,-0.0018822034216469,-0.0018822034216469,0.0,1,1.0
2024-05-31,-0.00045447476789025,-0.00045447476789025,0.0,1,1.0
2024-06-01,0.001534403767012525,0.001534403767012525,0.0,1,1.0
2024-06-02,-0.005025121942296,-0.005025121942296,0.0,1,1.0
2024-06-06,-0.001385253006712475,-0.001385253006712475,0.0,1,1.0
2024-06-07,-8.608693192024841e-06,-8.608693192024841e-06,0.0,1,1.0
2024-06-08,0.00162879851708525,0.00162879851708525,0.0,1,1.0
2024-06-09,-0.00136461254037045,-0.00136461254037045,0.0,1,1.0
2024-06-12,-0.000441990324749425,-0.000441990324749425,0.0,1,1.0
2024-06-13,0.00415275089142185,0.00415275089142185,0.0,1,1.0
2024-06-14,-0.0009818936801955,-0.0009818936801955,0.0,1,1.0
2024-06-15,-0.0007650331240558,-0.0007650331240558,0.0,1,1.0
2024-06-16,-0.001004149139701,-0.001004149139701,0.0,1,1.0
2024-06-19,0.00165861507458885,0.00165861507458885,0.0,1,1.0
2024-06-20,3.1557907415925e-05,3.1557907415925e-05,0.0,1,1.0
2024-06-21,0.000997671046368375,0.000997671046368375,0.0,1,1.0
2024-06-22,-0.000474742683032675,-0.000474742683032675,0.0,1,1.0
2024-06-23,0.002092986544505125,0.002092986544505125,0.0,1,1.0
2024-06-26,0.0081958381933575,0.0081958381933575,0.0,1,1.0
2024-06-27,-0.000133555274027575,-0.000133555274027575,0.0,1,1.0
2024-06-28,0.0001580467694983,0.0001580467694983,0.0,1,1.0
2024-06-29,-0.005535096114908825,-0.005535096114908825,0.0,1,1.0
2024-06-30,0.002486493151524375,0.002486493151524375,0.0,1,1.0
2024-07-03,0.006349293444533375,0.006349293444533375,0.0,1,1.0
2024-07-04,0.001943093241535225,0.001943093241535225,0.0,1,1.0
2024-07-05,-0.0024323768965356,-0.0024323768965356,0.0,1,1.0
2024-07-06,0.007893827708917925,0.007893827708917925,0.0,1,1.0
2024-07-07,0.001539159842964025,0.001539159842964025,0.0,1,1.0
2024-07-10,-0.00134117570506785,-0.00134117570506785,0.0,1,1.0
2024-07-11,0.005269597627866925,0.005269597627866925,0.0,1,1.0
2024-07-12,0.0013459485885589,0.0013459485885589,0.0,1,1.0
2024-07-13,-0.00026407100537695,-0.00026407100537695,0.0,1,1.0
2024-07-14,-0.005547428292669675,-0.005547428292669675,0.0,1,1.0
2024-07-17,0.00052442199670165,0.00052442199670165,0.0,1,1.0
2024-07-18,-0.000295160712942025,-0.000295160712942025,0.0,1,1.0
2024-07-19,-0.001474399725597425,-0.001474399725597425,0.0,1,1.0
2024-07-20,-0.006607553686591675,-0.006607553686591675,0.0,1,1.0
2024-07-21,0.0069116250607704,0.0069116250607704,0.0,1,1.0
2024-07-24,-0.0045160561157974,-0.0045160561157974,0.0,1,1.0
2024-07-25,0.000414782154250275,0.000414782154250275,0.0,1,1.0
2024-07-26,0.005492050027775475,0.005492050027775475,0.0,1,1.0
2024-07-27,-0.003187837582518525,-0.003187837582518525,0.0,1,1.0
2024-07-28,-0.00191490760484855,-0.00191490760484855,0.0,1,1.0
2024-07-31,-0.004772772849281375,-0.004772772849281375,0.0,1,1.0
