ticker,trade_date,alpha_score
300391.SZ,2025-07-24,0.002422421774046242
688125.SH,2025-07-24,0.0024224533221989778
688627.SH,2025-07-24,0.0024225252063720215
688679.SH,2025-07-24,0.0024224497279057918
920023.SH,2025-07-24,0.0024224436956627213
300086.SZ,2025-07-25,0.002421104821650935
300189.SZ,2025-07-25,0.002421997199405986
300236.SZ,2025-07-25,0.0024226977793858364
300321.SZ,2025-07-25,0.0024225434564962836
300344.SZ,2025-07-25,0.0024225350983499787
300391.SZ,2025-07-25,0.0024224997690036843
688125.SH,2025-07-25,0.0024225357465618652
688627.SH,2025-07-25,0.0024224535999017452
688679.SH,2025-07-25,0.0024224526368147657
920023.SH,2025-07-25,0.0024225418115947613
300086.SZ,2025-07-28,0.002422650281909224
300189.SZ,2025-07-28,0.0024224956854252957
300236.SZ,2025-07-28,0.002422710737899886
300321.SZ,2025-07-28,0.002422617360141759
300344.SZ,2025-07-28,0.00242258834522613
300391.SZ,2025-07-28,0.0024225269264411937
688125.SH,2025-07-28,0.002422652959050911
688627.SH,2025-07-28,0.0024225297748950323
688679.SH,2025-07-28,0.0024224511894313304
920023.SH,2025-07-28,0.0024224476560814616
300086.SZ,2025-07-29,0.0024225415563107655
300189.SZ,2025-07-29,0.0024225751886610756
300236.SZ,2025-07-29,0.00242257997436712
300321.SZ,2025-07-29,0.0024224498352218883
300344.SZ,2025-07-29,0.002422564622617942
300391.SZ,2025-07-29,0.0024224671159535547
688125.SH,2025-07-29,0.0024225045135793035
688627.SH,2025-07-29,0.0024224431583912435
688679.SH,2025-07-29,0.0024224503674918707
920023.SH,2025-07-29,0.002422447179737004
300086.SZ,2025-07-30,0.0024227820430547057
300189.SZ,2025-07-30,0.0024225791805466412
300236.SZ,2025-07-30,0.002422439304508911
300321.SZ,2025-07-30,0.0024224419136953095
300344.SZ,2025-07-30,0.0024225403648277534
300391.SZ,2025-07-30,0.0024224564805168133
688125.SH,2025-07-30,0.0024224619885229756
688627.SH,2025-07-30,0.0024225373331720527
688679.SH,2025-07-30,0.0024224513817629302
920023.SH,2025-07-30,0.002422450352698359
300086.SZ,2025-07-31,0.002422727809120259
300189.SZ,2025-07-31,0.002422644644920709
300236.SZ,2025-07-31,0.0024225343619411607
300321.SZ,2025-07-31,0.002422443471750939
300344.SZ,2025-07-31,0.0024225324449614716
300391.SZ,2025-07-31,0.0024224612523643836
688125.SH,2025-07-31,0.0024224912594545452
688627.SH,2025-07-31,0.0024224527258748093
688679.SH,2025-07-31,0.0024224076494850453
920023.SH,2025-07-31,0.0024224464456116994
300086.SZ,2025-08-01,0.002422565338870195
300189.SZ,2025-08-01,0.0024225682476673644
300236.SZ,2025-08-01,0.002422591334623943
300321.SZ,2025-08-01,0.00242244630483799
300344.SZ,2025-08-01,0.0024225240745024508
300391.SZ,2025-08-01,0.002422469375842293
688125.SH,2025-08-01,0.0024224418795823497
688627.SH,2025-08-01,0.0024225472581045986
688679.SH,2025-08-01,0.0024224497100891734
920023.SH,2025-08-01,0.00242244859197388
300086.SZ,2025-08-04,0.002422350074640488
300189.SZ,2025-08-04,0.0024225970853919824
300236.SZ,2025-08-04,0.002422545636554554
300321.SZ,2025-08-04,0.0024224431287554614
300344.SZ,2025-08-04,0.0024225064547932925
300391.SZ,2025-08-04,0.0024226082844075567
688125.SH,2025-08-04,0.002422620435652441
688627.SH,2025-08-04,0.0024224511247881828
688679.SH,2025-08-04,0.0024225501301795844
920023.SH,2025-08-04,0.002422447575545886
300086.SZ,2025-08-05,0.002422557538489016
300189.SZ,2025-08-05,0.002422607064680667
